Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
09-Mar-23,,purple,,,THE CAMERA IS OURS + ROS CRANSTON,https://likeaword.github.io/borderlines2023/img/FILM2023-18.jpg,"09 Mar, Starts:17:30. Ends: 19:27 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,green,,,AFTERSUN,https://likeaword.github.io/borderlines2023/img/FILM2023-2.jpg,"09 Mar, Starts:17:45. Ends: 19:28 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,purple,,,STORYBOARDING FOR FEATURES TALK,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"09 Mar, Starts:19:00. Ends: 20:30 approx. Theme: other","Malvern, Faun Deli",52.11352551,-2.330262002
09-Mar-23,,green,,,AFTERSUN,https://likeaword.github.io/borderlines2023/img/FILM2023-2.jpg,"09 Mar, Starts:19:30. Ends: 21:13 approx. Theme: Ties That Bind","Bromyard, Conquest Theatre",52.1907507,-2.5108662
09-Mar-23,,purple,,,NO BEARS,https://likeaword.github.io/borderlines2023/img/FILM2023-48.jpg,"09 Mar, Starts:19:30. Ends: 21:17 approx. Theme: other",Leintwardine Community Centre,52.36163305,-2.876850244
09-Mar-23,,purple,,,THE BANSHEES OF INISHERIN,https://likeaword.github.io/borderlines2023/img/FILM2023-8.jpg,"09 Mar, Starts:19:30. Ends: 21:24 approx. Theme: other",Pudleston Village Hall*,52.23680041,-2.640268485
09-Mar-23,,red,,,ALL THE BEAUTY AND THE BLOODSHED,https://likeaword.github.io/borderlines2023/img/FILM2023-4.jpg,"09 Mar, Starts:19:45. Ends: 21:41 approx. Theme: Talking Back",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"09 Mar, Starts:19:45. Ends: 21:48 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
09-Mar-23,,purple,,,WOMEN TALKING,https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"09 Mar, Starts:20:00. Ends: 21:44 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
09-Mar-23,,orange,,,1976,https://likeaword.github.io/borderlines2023/img/FILM2023-1.jpg,"09 Mar, Starts:20:00. Ends: 21:35 approx. Theme: South America",Malvern Theatres,52.1103897,-2.3291562
10-Mar-23,,purple,,,LUNANA: A YAK IN THE CLASSROOM,https://likeaword.github.io/borderlines2023/img/FILM2023-42.jpg,"10 Mar, Starts:11:00. Ends: 12:29 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
10-Mar-23,,purple,,,CLOSE,https://likeaword.github.io/borderlines2023/img/FILM2023-21.jpg,"10 Mar, Starts:11:30. Ends: 13:15 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
10-Mar-23,,yellow,,,THE BLUE CAFTAN,https://likeaword.github.io/borderlines2023/img/FILM2023-59.jpg,"10 Mar, Starts:13:45. Ends: 15:43 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
10-Mar-23,,purple,,,WOMEN TALKING,https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"10 Mar, Starts:14:15. Ends: 15:59 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
10-Mar-23,,purple,,,WOMEN TALKING,https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"10 Mar, Starts:17:00. Ends: 18:44 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
10-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"10 Mar, Starts:17:45. Ends: 19:33 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
10-Mar-23,,purple,,,DECISION TO LEAVE,https://likeaword.github.io/borderlines2023/img/FILM2023-25.jpg,"10 Mar, Starts:19:30. Ends: 21:49 approx. Theme: other",Bedstone & Hopton Castle Village Hall*,52.37653777,-2.9282624
10-Mar-23,,purple,,,EMILY,https://likeaword.github.io/borderlines2023/img/FILM2023-28.jpg,"10 Mar, Starts:19:30. Ends: 21:40 approx. Theme: other","Burghill, Simpson Hall*",52.09804201,-2.768120587
10-Mar-23,,orange,,,UTAMA,https://likeaword.github.io/borderlines2023/img/FILM2023-61.jpg,"10 Mar, Starts:19:30. Ends: 20:57 approx. Theme: South America",Garway Hall*,51.9005843,-2.7882813
10-Mar-23,,yellow,,,BLUE JEAN (captioned),https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"10 Mar, Starts:19:30. Ends: 21:07 approx. Theme: LGBTQ+",Ludlow Assembly Rooms,52.3671434,-2.7229135
10-Mar-23,,purple,,,EO,https://likeaword.github.io/borderlines2023/img/FILM2023-29.jpg,"10 Mar, Starts:19:30. Ends: 20:58 approx. Theme: other","Oswestry, Kinokulture",52.86067035,-3.056271217
10-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"10 Mar, Starts:19:45. Ends: 21:42 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
